Molecule,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
IDT-T,A,-5.41,-3.96,nan,nan,nan
,,,,,,
IDTT(TCV)2,A,-5.58,-4.06,1.52,713,691
,,,,,,
IDTT-2BM,A,-5.5,-3.8,1.54,714,672
,,,,,,
IDTT2F,A,-5.57,-4.03,1.46,749,716
,,,,,,
IDTT2OT,A,-5.2,-3.69,1.51,725,717
,,,,,,
IDTT2OT-2F,A,-5.28,-3.83,1.45,754,731
,,,,,,
IDTT2OT-4F,A,-5.32,-3.9,1.42,768,734
,,,,,,
IDTTA,A,-5.81,-3.97,nan,nan,nan
,,,,,,
IDTT-BH,A,-5.42,-3.86,1.54,733,710
,,,,,,
IDTT-Br-2F,A,-5.79,-3.99,1.58,nan,nan
,,,,,,
IDTT-Cl-2F,A,-5.42,-3.92,1.56,nan,nan
,,,,,,
IDTT-CR,A,-5.25,-3.38,1.74,602,610
,,,,,,
IDTT-CT,A,-5.28,-3.65,1.63,653,641
,,,,,,
IDTTIC,A,-5.68,-3.84,nan,nan,nan
,,,,,,
IDTT-M-2F,A,-5.4,-3.87,1.59,nan,nan
,,,,,,
IDT-T-N,A,-5.58,-4.06,1.45,755,734
,,,,,,
IDTT-OB,A,-5.59,-3.87,nan,nan,nan
,,,,,,
IDTT-OBH,A,-5.41,-3.86,1.57,733,710
,,,,,,
IDTT-R,A,-5.32,-3.49,1.84,598,590
,,,,,,
IDTT-T,A,-5.51,-3.58,1.82,625,620
,,,,,,
IDTT-TBTA,A,-5.51,-3.72,1.89,nan,nan
,,,,,,
IDT-Tz,A,-5.62,-4.09,nan,nan,nan
,,,,,,
IDTzCR,A,-5.67,-3.77,1.79,616,593
,,,,,,
IE-4Cl,A,-5.54,-4.11,1.43,775,730
,,,,,,
IE-4F,A,-5.51,-4.07,1.44,760,715
,,,,,,
IEIC,A,-5.42,-3.82,1.57,714.97,700
,,,,,,
IEICO,A,-5.32,-3.95,1.34,nan,nan
,,,,,,
IEICO-4Cl,A,-5.56,-4.23,1.23,887,802
,,,,,,
IEICO-4F,A,-5.44,-4.19,1.24,869,803
,,,,,,
IEICS-4F,A,-5.43,-4.08,1.35,nan,nan
,,,,,,
IFBR,A,-5.69,-3.64,nan,nan,nan
,,,,,,
IFBR-d,A,-5.67,-3.74,nan,647,nan
,,,,,,
IFBR-p,A,-5.64,-3.73,nan,671,nan
,,,,,,
IffBR,A,-5.71,-3.77,nan,nan,nan
,,,,,,
IFIC-i-4F,A,-5.42,-3.91,nan,nan,nan
,,,,,,
IHIC2,A,-5.69,-3.86,nan,nan,nan
,,,,,,
IHIC-N,A,-5.57,-3.8,nan,nan,nan
,,,,,,
I-IDTBTRh,A,-5.42,-3.68,1.65,667,618
,,,,,,
i-IEICO-2Cl,A,-5.42,-3.75,1.57,727,709
,,,,,,
i-IEICO-4Cl,A,-5.46,-3.82,1.51,754,718
,,,,,,
I-ITIC,A,-5.68,-4.14,nan,nan,nan
,,,,,,
INIC,A,-5.45,-3.88,1.57,706,692
,,,,,,
INIC1,A,-5.54,-3.97,1.56,720,710
,,,,,,
INIC2,A,-5.52,-3.98,1.52,728,704
,,,,,,
INIC3,A,-5.52,-4.02,1.48,744,710
,,,,,,
INPIC,A,-5.36,-3.82,1.46,779,755
,,,,,,
INPIC-2F,A,-5.4,-3.91,1.41,799,767
,,,,,,
INPIC-4F,A,-5.42,-3.94,1.39,821,769
,,,,,,
IOIC2,A,-5.41,-3.78,nan,nan,nan
,,,,,,
IOIC3,A,-5.38,-3.84,nan,nan,nan
,,,,,,
IOTIC-2F,A,-5.34,-4.06,1.31,839,794
,,,,,,
IPIC,A,-5.47,-3.82,1.44,776,761
,,,,,,
IPIC-4Cl,A,-5.51,-3.95,1.32,855,790
,,,,,,
IPIC-4F,A,-5.54,-3.94,1.38,824,776
,,,,,,
IPT-2F,A,-5.51,-3.96,1.44,775,739
,,,,,,
IPT2F-Ph,A,-5.57,-4,1.46,769,732
,,,,,,
IPT2F-Th,A,-5.58,-4.03,1.47,759,726
,,,,,,
IPT2F-TT,A,-5.6,-4,1.45,764,724
,,,,,,
IPT-4Cl,A,-5.58,-4.11,1.39,819,760
,,,,,,
IPT-4F,A,-5.57,-4.08,1.42,795,746
,,,,,,
IPTBO-4Cl,A,-5.64,-4.08,1.39,817,759
,,,,,,
IPTBO-4F,A,-5.57,-4.07,1.41,800,746
,,,,,,
IPTT-2F,A,-5.46,-4.04,1.42,766,742
,,,,,,
IPTTT-2F,A,-5.4,-4.07,1.43,761,746
,,,,,,
IT-2Cl,A,-5.68,-3.99,1.55,720,nan
,,,,,,
IT-2F,A,-5.64,-4.05,nan,nan,nan
,,,,,,
IT-4Cl,A,-5.75,-4.09,1.48,746,nan
,,,,,,
IT-4F,A,-5.66,-4.14,1.53,725.5,690.99
,,,,,,
IT6-4F,A,-5.69,-3.99,1.53,709,679
,,,,,,
ITBC,A,-5.49,-3.9,1.59,691,664
,,,,,,
IT-BN-ICN,A,-5.59,-4.08,1.51,750,nan
,,,,,,
IT-BT-CN,A,-5.53,-3.96,1.57,712,nan
,,,,,,
ITC-2Cl,A,-5.58,-4.01,1.58,746,709
,,,,,,
ITC6-IC,A,-5.73,-3.92,1.6,709,677
,,,,,,
ITCC-Br,A,-5.74,-3.91,1.64,nan,nan
,,,,,,
ITCC-Cl,A,-5.4,-3.78,1.66,nan,nan
,,,,,,
ITCC-M,A,-5.43,-3.68,1.72,nan,nan
,,,,,,
ITCF,A,-5.59,-3.95,1.57,718,683
,,,,,,
ITCPTC,A,-5.63,-3.96,1.58,719.7,677.88
,,,,,,
IT-DM,A,-5.57,-3.88,1.63,694,669
,,,,,,
IT-DOH,A,-5.58,-3.93,1.53,732,667
,,,,,,
IT-F,A,-5.66,-3.95,nan,nan,nan
,,,,,,
ITIC,A,-5.49,-3.83,1.59,705.14,677.79
,,,,,,
IT-IC,A,-5.58,-3.88,1.59,709,nan
,,,,,,
ITIC-0F,A,-5.7,-4,1.59,708,668
,,,,,,
ITIC1,A,-5.48,-3.85,1.55,734,702
,,,,,,
ITIC2,A,-5.43,-3.8,1.53,738,714
,,,,,,
ITIC-2F,A,-5.66,-4.11,1.56,721.5,681.47
,,,,,,
ITIC3,A,-5.54,-3.9,1.55,734,686
,,,,,,
ITIC-3F,A,-5.73,-4.12,1.54,730,685
,,,,,,
ITIC4,A,-5.77,-3.97,1.52,730,690
,,,,,,
ITIC-4F,A,-5.82,-4.24,1.55,728,682
,,,,,,
ITIC5,A,-5.48,-3.95,1.53,744,718
,,,,,,
ITIC-6F,A,-5.78,-4.16,1.51,745,695
,,,,,,
ITIC-C9,A,-5.78,-3.97,nan,nan,nan
,,,,,,
ITIC-Cl4,A,-5.5,-3.9,nan,nan,nan
,,,,,,
ITIC-OE,A,-5.67,-4.03,1.58,718,671
,,,,,,
ITIC-SC2C6,A,-5.74,-3.86,nan,nan,nan
,,,,,,
ITIC-Th,A,-5.66,-3.93,1.6,706,668
,,,,,,
ITIC-Th1,A,-5.74,-4.01,1.55,728,677
,,,,,,
ITIC-Th2,A,-5.75,-4.07,1.54,735,680
,,,,,,
ITIC-Th3,A,-5.67,-3.73,1.63,698,664
,,,,,,
IT-M,A,-5.58,-3.98,1.6,nan,nan
,,,,,,
ITN-C9,A,-5.78,-3.92,nan,nan,nan
,,,,,,
IT-OH,A,-5.57,-3.92,1.54,725,666
,,,,,,
IT-OM-1,A,-5.5,-3.76,1.67,668,650
,,,,,,
IT-OM-2,A,-5.49,-3.86,1.59,706,678
,,,,,,
IT-OM-3,A,-5.52,-3.8,1.64,686,664
,,,,,,
IT-OM-4,A,-5.49,-3.81,1.63,688,676
,,,,,,
ITOTIC-2F,A,-5.22,-4.11,1.32,809,791
,,,,,,
ITTC,A,-5.49,-3.85,1.61,707,nan
,,,,,,
ITTIC,A,-5.28,-3.82,nan,nan,nan
,,,,,,
ITzN-C9,A,-5.62,-3.78,nan,nan,nan
,,,,,,
IUIC,A,-5.45,-3.87,1.41,788,772
,,,,,,
IXIC,A,-5.13,-3.78,1.35,799.5,751.5
,,,,,,
IXIC-2Cl,A,-5.2,-3.9,1.3,939,773.5
,,,,,,
IXIC-4Cl,A,-5.2,-3.95,1.25,866,789
,,,,,,
J100,D,-5.35,-3,1.95,nan,nan
,,,,,,
J101,D,-5.47,-2.97,1.96,nan,nan
,,,,,,
J101 (actually J100),D,-5.3,-3.5,nan,nan,nan
,,,,,,
J11,D,-5.48,-3.23,1.96,543,543
,,,,,,
J12,D,-5.51,-3.26,1.94,545,548
,,,,,,
J51,D,-5.29,-3.3,nan,nan,nan
,,,,,,
J52,D,-5.2,-3.05,1.96,590,nan
,,,,,,
J52-2Cl,D,-5.38,nan,1.94,nan,nan
,,,,,,
J52-2F,D,-5.36,-3.42,nan,nan,nan
,,,,,,
J52-Cl,D,-5.39,-3.45,nan,nan,nan
,,,,,,
J52-F,D,-5.36,-3.42,nan,nan,nan
,,,,,,
J60,D,-5.32,-3.08,1.93,598,nan
,,,,,,
J61,D,-5.32,-3.07,1.93,600,nan
,,,,,,
J62,D,-5.31,-3.08,1.92,nan,nan
,,,,,,
J63,D,-5.28,-3.04,1.92,nan,nan
,,,,,,
J64,D,-5.33,-3.09,1.92,nan,nan
,,,,,,
J70,D,-5.37,-2.91,1.99,580,nan
,,,,,,
J71,D,-5.4,-3.24,1.96,580,nan
,,,,,,
J71-Cl,D,-5.33,-2.98,1.96,nan,nan
,,,,,,
J72,D,-5.42,-3.29,1.98,578,nan
,,,,,,
J73,D,-5.46,-2.92,1.98,576,nan
,,,,,,
J74,D,-5.56,-3.06,1.99,526,nan
,,,,,,
J81,D,-5.43,-2.98,nan,nan,nan
,,,,,,
J91,D,-5.5,-3.02,2,nan,nan
,,,,,,
JC1,A,-5.51,-3.95,1.3,828,723
,,,,,,
JC14,A,-5.41,-3.63,1.57,707,657
,,,,,,
JC2,A,-5.48,-3.73,1.48,760,673
,,,,,,
K12,A,-6.2,-3.6,nan,nan,nan
,,,,,,
L1,D,-5.45,-2.79,nan,nan,nan
,,,,,,
L24,D,-5.43,-3.48,nan,nan,nan
,,,,,,
L68,D,-5.51,-3.56,nan,nan,nan
,,,,,,
L810,D,-5.57,-3.58,nan,nan,nan
,,,,,,
L8-BO,A,-5.68,-3.9,nan,nan,nan
,,,,,,
LL2,A,-5.58,-3.88,1.39,809,729
,,,,,,
LL2-2Cl,A,-5.64,-4.02,1.35,835,745
,,,,,,
LL3,A,-5.48,-3.78,1.37,823,753
,,,,,,
LL3-2Cl,A,-5.53,-3.92,1.32,860,766
,,,,,,
LL4,A,-5.56,-3.82,1.39,807,730
,,,,,,
LL4-2Cl,A,-5.62,-3.99,nan,nan,743
,,,,,,
M1,A,-5.48,-3.8,1.44,774,726
,,,,,,
M2,A,-5.6,-3.96,1.39,797,742
,,,,,,
M34,A,-5.6,-3.91,1.39,798,741
,,,,,,
M4,A,-5.61,-3.97,1.38,798,742
,,,,,,
m-4TBC-2F,A,-5.68,-4,1.66,606,595
,,,,,,
M8,A,-5.49,-3.91,1.28,854,780
,,,,,,
m-BTP-C6Ph,A,-5.59,-3.86,1.35,806,728
,,,,,,
m-DTC-2Cl,A,-5.65,-3.89,nan,nan,nan
,,,,,,
MeIC,A,-5.72,-3.76,1.58,718,674
,,,,,,
m-IDTIDT-FIC,A,-5.47,-3.94,1.51,743,716
,,,,,,
m-INPOIC,A,-5.41,-3.97,1.41,810,773
,,,,,,
m-ITIC,A,-5.52,-3.82,1.58,nan,nan
,,,,,,
m-ITIC-OR-4Cl,A,-5.78,-4.05,nan,nan,nan
,,,,,,
m-ITTC,A,-5.62,-3.89,1.61,711,688
,,,,,,
MO-IDIC,A,-5.69,-3.89,1.6,nan,670
,,,,,,
MO-IDIC-2F,A,-5.8,-3.93,1.55,nan,677
,,,,,,
m-PBDTPS-FTAZ,D,-5.4,-3.4,2,579,567
,,,,,,
MS-4Cl,A,-5.68,-3.99,1.37,813,742
,,,,,,
MS-4F,A,-5.63,-3.91,1.41,800,727
,,,,,,
N10,A,-5.7,-4.15,nan,nan,nan
,,,,,,
N2200,A,-5.71,-4.02,nan,nan,nan
,,,,,,
N3_srivani,A,-5.87,-3.9,nan,nan,nan
,,,,,,
N4,A,-6.05,-3.89,nan,nan,nan
,,,,,,
N65-2FIC,A,-5.6,-4.03,1.4,786,731
,,,,,,
N65-IC,A,-5.52,-3.89,1.48,748,715
,,,,,,
N6b,A,-5.06,-3.71,nan,nan,nan
,,,,,,
N7,A,-5.56,-3.74,nan,nan,nan
,,,,,,
NAI-FN-NAI(BO),A,-6.07,-3.96,2.13,426,411
,,,,,,
NBDTP,A,-5.66,-3.79,nan,nan,nan
,,,,,,
NCBDT,A,-5.36,-3.89,nan,nan,nan
,,,,,,
NCBDT-4Cl,A,-5.6,-4.02,nan,nan,nan
,,,,,,
NDI-3TH,A,-5.5,-4.1,nan,nan,nan
,,,,,,
NDICz-6,A,-5.91,-4.19,nan,nan,nan
,,,,,,
NDTR,D,-5.23,-3.5,nan,nan,nan
,,,,,,
NFBDT,A,-5.42,-3.86,1.56,731,703
,,,,,,
NFTI,A,-5.46,-3.77,nan,nan,nan
,,,,,,
NIBT,A,-5.38,-3.68,1.63,660,628
,,,,,,
NIDT,A,-5.34,-3.58,1.85,618,599
,,,,,,
NITI-SeS,A,-5.76,-3.83,nan,nan,nan
,,,,,,
NITI-Sse,A,-5.76,-3.81,nan,nan,nan
,,,,,,
NITT-BF,A,-5.75,-4.15,1.52,713,675
,,,,,,
NITT-ThCl,A,-5.71,-4.1,1.55,705,692
,,,,,,
NITV,A,-5.4,-3.62,1.78,548,567
,,,,,,
NNBDT,A,-5.46,-3.94,nan,nan,nan
,,,,,,
NOBDT,A,-5.26,-3.89,1.39,781,744
,,,,,,
NoCA-1,A,-5.45,-3.88,nan,822,764
,,,,,,
NoCA-5,A,-5.43,-3.83,nan,818,769
,,,,,,
NTIC,A,-5.58,-3.76,1.67,694,650
,,,,,,
NTIC-F,A,-5.52,-3.77,1.66,712,657
,,,,,,
NTIC-Me,A,-5.53,-3.73,1.74,670,647
,,,,,,
NTIC-OMe,A,-5.53,-3.7,1.71,675,651
,,,,,,
NTTI,A,-5.38,-3.83,1.45,783,nan
,,,,,,
NTz-Np,A,-6.01,-3.6,1.73,nan,533
,,,,,,
NTz-Teh-FA,A,-6.06,-3.38,2.13,nan,509
,,,,,,
o-4TBC-2F,A,-5.63,-4,1.34,825,671
,,,,,,
o-BTP-C6Ph,A,-5.53,-3.76,1.39,790,730
,,,,,,
OCH3-2F,A,-5.4,-4.04,1.33,796,752
,,,,,,
o-DOC6-2F,A,-5.49,-3.83,1.51,744,712
,,,,,,
OF-PCIC,A,-5.66,-3.86,1.59,702,660
,,,,,,
O-IDTBCN,A,-5.8,-3.8,nan,712,nan
,,,,,,
O-IDTBR,A,-5.52,-3.89,1.68,673,650
,,,,,,
o-IO1,A,-5.44,-4.15,1.28,850,790
,,,,,,
o-IO2,A,-5.41,-4.21,1.2,920,835
,,,,,,
O-NTIC,A,-5.51,-3.67,1.7,671,650
,,,,,,
O-NTNC,A,-5.54,-3.78,1.64,706,679
,,,,,,
ORCN,A,-5.37,-3.56,1.64,676,666
,,,,,,
P,D,-5.27,-3.6,nan,nan,nan
,,,,,,
P(NDI2OD-FT2),A,-5.5,-3.91,1.59,630,nan
,,,,,,
P(NDI2OD-T2),A,-5.49,-4.05,1.44,704,nan
,,,,,,
P(T4-DPP-M),D,-5.4,-4,1.4,nan,nan
,,,,,,
P(T4-iI-M),D,-5.5,-3.9,1.55,nan,nan
,,,,,,
P(T4-TPD-M),D,-5.6,-3.8,1.84,nan,nan
,,,,,,
P1_mishra,D,-5.1,-3.48,1.6,588,532
,,,,,,
P1_yang,D,-5.17,-2.9,1.87,563,561
,,,,,,
P104,D,-5.29,-3.68,1.59,657,651
,,,,,,
P105,D,-5.38,-3.62,1.66,652,647
,,,,,,
P2,D,-5.5,-3.59,1.93,548,544
,,,,,,
P2_yang,D,-5.33,-2.94,1.9,594,591
,,,,,,
P2F-EH,D,-5.36,-3.04,nan,nan,nan
,,,,,,
P2F-Ehp,D,-5.46,-3.13,nan,nan,nan
,,,,,,
P2F-EHp,D,-5.38,-3.06,nan,nan,nan
,,,,,,
P2F-EO,D,-5.41,-3.08,nan,nan,nan
,,,,,,
P3_yang,D,-5.54,-2.98,1.92,593,592
,,,,,,
P3HT,D,-5.01,-3.12,nan,522,450
,,,,,,
P4_yang,D,-5.68,-3.13,2,577,576
,,,,,,
P-4FP,D,-5.54,-3.61,nan,nan,nan
,,,,,,
P5T,D,-5.41,-3.48,nan,nan,nan
,,,,,,
P5T-2F,D,-5.51,-3.56,nan,nan,nan
,,,,,,
PB24-TTDC,D,-5.36,-3.58,1.91,556,nan
,,,,,,
PB2T,D,-5.63,-3.63,2.24,416,413
,,,,,,
PB3T,D,-5.39,-3.37,1.96,540,534
,,,,,,
PB68-3TDC,D,-5.41,-3.57,1.92,555,nan
,,,,,,
PBB,D,-5.54,-3.59,1.95,551,512
,,,,,,
PBB-Cl,D,-5.64,-3.64,2,580,528
,,,,,,
PBB-F,D,-5.57,-3.57,2,579,529
,,,,,,
PBB-H,D,-5.47,-3.47,2,580,572
,,,,,,
PBBSB,D,-5.19,-3.63,nan,nan,nan
,,,,,,
PBBSe-Cl,D,-5.36,-3.63,1.73,645,643
,,,,,,
PBBSe-H,D,-5.16,-3.45,1.71,657,651
,,,,,,
PBCIT,D,-5.47,-3.61,1.64,695,691
,,,,,,
PBCT-2F,D,-5.58,-3.66,nan,nan,nan
,,,,,,
PBDB-ST,D,-5.37,-3.59,nan,nan,nan
,,,,,,
PBDB-T,D,-5.33,-3.48,1.84,625.98,622.5
,,,,,,
PBDB-T-2Cl,D,-5.52,-3.6,nan,nan,nan
,,,,,,
PBDB-T-4Cl,D,-5.38,-3.47,nan,nan,nan
,,,,,,
PBDB-TF,D,-5.49,-3.64,1.8,618.48,615
,,,,,,
PBDB-TSCl,D,-5.61,-3.8,1.81,615,608
,,,,,,
PBDB-T-SF,D,-5.41,-3.62,nan,nan,nan
,,,,,,
PBDE-DFDT,D,-5.5,-3.56,nan,nan,nan
,,,,,,
PBDE-TT,D,-5.49,-3.52,nan,nan,nan
,,,,,,
PBDS-TZ,D,-5.41,-3.46,nan,nan,nan
,,,,,,
PBDT-DTN,D,-5.37,-3.53,1.84,572,538
,,,,,,
PBDTNO-BDD,D,-5.27,-3.44,nan,nan,nan
,,,,,,
PBDT-NQx,D,-5.24,-3.42,1.8,632,624
,,,,,,
PBDTNS-BDD,D,-5.35,-3.54,nan,nan,nan
,,,,,,
PBDT-S-2TC,D,-5.47,-3.58,nan,nan,nan
,,,,,,
PBDTS-DTBTO,D,-5.24,-3.6,nan,nan,nan
,,,,,,
PBDT-Se-TAZ,D,-5.23,-3.43,1.92,597,583
,,,,,,
PBDTSF-TZNT,D,-5.45,-3.41,nan,nan,nan
,,,,,,
PBDTS-NQx,D,-5.31,-3.46,1.81,636,628
,,,,,,
PBDTS-Se-TAZ,D,-5.29,-3.52,1.9,602,592
,,,,,,
PBDTS-TDZ,D,-5.39,-2.8,nan,nan,nan
,,,,,,
PBDTS-TZNT,D,-5.39,-3.3,nan,nan,nan
,,,,,,
PBDTTAZ-NaPh,D,-5.44,-3.49,nan,nan,nan
,,,,,,
PBDT-TDZ,D,-5.35,-2.78,nan,nan,nan
,,,,,,
PBDTTPD,D,-5.7,-3.7,nan,nan,nan
,,,,,,
PBDTTS-TTffBT,D,-5.45,-3.69,nan,nan,nan
,,,,,,
PBDTTT-EFT,D,-5.24,-3.66,nan,nan,nan
,,,,,,
PBDTTT-E-T,D,-5.09,-3.22,nan,nan,nan
,,,,,,
PBDTT-TT-F,D,-5.3,-3.6,nan,nan,nan
,,,,,,
PBFSF,D,-5.27,-3.72,nan,nan,nan
,,,,,,
PBF-SF,D,-5.46,-3.58,nan,nan,nan
,,,,,,
PBFTT,D,-5.47,-3.56,nan,nan,nan
,,,,,,
PBFZ-OP,D,-5.33,-3.01,nan,nan,nan
,,,,,,
PBI,A,-5.8,-3.6,nan,nan,nan
,,,,,,
PbiTPD,D,-5.2,-3.45,1.78,630,610
,,,,,,
PBN-S,D,-5.48,-3.52,nan,nan,nan
,,,,,,
PBPD-Th,D,-5.42,-3.36,nan,nan,nan
,,,,,,
PBQx-TF,D,-5.41,-2.82,nan,nan,nan
,,,,,,
PBT1-C,D,-5.43,-3.37,1.87,616,611
,,,,,,
PBT1-C-2Cl,D,-5.59,-3.53,1.85,629,629
,,,,,,
PBT1Cl-Bz,D,-5.39,-3.57,1.93,588,581
,,,,,,
PBT1-EH,D,-5.43,-3.43,nan,nan,nan
,,,,,,
PBT2Clas-Bz,D,-5.48,-3.56,1.97,574,569
,,,,,,
PBT2Cls-Bz,D,-5.47,-3.58,1.96,585,580
,,,,,,
PBT4Cl-Bz,D,-5.64,-3.57,2.01,573,571
,,,,,,
PBT7-Th,D,-5.27,-3.48,1.61,705,701
,,,,,,
PBTA-BO,D,-5.31,-2.89,nan,nan,nan
,,,,,,
PBTA-PS,D,-5.34,-3.4,nan,nan,nan
,,,,,,
PBTA-PSF,D,-5.52,-3.54,nan,nan,nan
,,,,,,
PBTB-TF,D,-5.46,-3.63,nan,nan,nan
,,,,,,
PBTCl,D,-5.43,-3.55,nan,nan,nan
,,,,,,
PBT-Cl,D,-5.51,-3.6,nan,nan,nan
,,,,,,
PBT-F,D,-5.39,-3.65,nan,nan,nan
,,,,,,
PBTIBDTT,D,-5.47,-3.6,nan,nan,nan
,,,,,,
p-BTP-C6Ph,A,-5.59,-3.85,1.36,805,728
,,,,,,
PBT-S-TTz,D,-5.45,-3.5,1.95,597,597
,,,,,,
PBT-TTz,D,-5.41,-3.46,1.95,589,589
,,,,,,
PBZ,D,-5.18,-3.22,nan,nan,nan
,,,,,,
PBZ1,D,-5.27,-3.06,nan,nan,nan
,,,,,,
PBZ-Cl,D,-5.39,-3.41,nan,nan,nan
,,,,,,
PBZ-ClSi,D,-5.56,-3.5,nan,nan,nan
,,,,,,
PBZ-m-CF3,D,-5.49,-3.22,nan,nan,nan
,,,,,,
PCDTBT,D,-5.5,-3.6,nan,nan,nan
,,,,,,
PCE10-2Cl,D,-5.5,-3.93,nan,nan,nan
,,,,,,
PCE10-2F,D,-5.47,-3.9,nan,nan,nan
,,,,,,
PCE10-SF,D,-5.53,-3.76,nan,nan,nan
,,,,,,
P-CIT,D,-5.5,-3.55,nan,nan,nan
,,,,,,
PDBT-2Cl,D,-5.49,-3.59,1.92,554,562
,,,,,,
PDBT-2F,D,-5.43,-3.61,1.82,579,576
,,,,,,
PDBT-Cl,D,-5.41,-3.56,1.83,583,583
,,,,,,
PDBT-F,D,-5.39,-3.57,1.81,584,577
,,,,,,
PDBT-T1,D,-5.36,-3.43,nan,nan,nan
,,,,,,
PDCBT,D,-5.31,-3,1.9,600,483
,,,,,,
PDCBT-2Cl,D,-5.44,-3,1.95,585,486
,,,,,,
PDCBT-2F,D,-5.5,-3.36,1.92,592,501
,,,,,,
PDCBT-Cl,D,-5.34,-3.01,1.91,599,491
,,,,,,
PDCBT-F,D,-5.32,-2.98,1.93,594,501
,,,,,,
PDCPDT-BC,A,-5.4,-3.85,1.53,717,680
,,,,,,
PD-dIDTC6,A,-5.51,-3.89,1.65,681,681
,,,,,,
p-DOC6-2F,A,-5.47,-3.79,1.37,821,742
,,,,,,
PDTB-EF-T,D,-5.5,-3.59,1.93,548,544
,,,,,,
PDTF-TZNT,D,-5.24,-3.23,1.84,617,597
,,,,,,
PDTH-TZNT,D,-5.16,-3.1,1.94,541,527
,,,,,,
PDTSBT,D,-5.3,-3.5,nan,nan,nan
,,,,,,
PF2-DTC,A,-5.76,-3.9,nan,nan,nan
,,,,,,
PF2-DTGe,A,-5.78,-3.9,nan,nan,nan
,,,,,,
PF2-DTSi,A,-5.74,-3.87,nan,nan,nan
,,,,,,
PF3-DTC,A,-5.73,-3.91,nan,nan,nan
,,,,,,
PF3-DTCO,A,-5.71,-3.95,nan,nan,nan
,,,,,,
PFA1,A,-5.74,-3.84,1.41,815,nan
,,,,,,
PFBDB-T,D,-5.47,-3.46,nan,nan,nan
,,,,,,
PFBDT-IDTIC,A,-5.78,-3.85,nan,nan,nan
,,,,,,
PFBZ,D,-5.36,-3.42,nan,nan,nan
,,,,,,
PffBT4T,D,-5.36,-3.71,nan,nan,nan
,,,,,,
PffBT4T-2DT,D,-5.29,-3.65,nan,nan,nan
,,,,,,
PffBT4T-B,D,-5.61,-3.58,nan,nan,nan
,,,,,,
PffBT-DPP,D,-5.66,-3.56,nan,nan,nan
,,,,,,
PffQx-PS,D,-5.4,-3.55,nan,nan,nan
,,,,,,
PffQx-T,D,-5.36,-3.56,nan,nan,nan
,,,,,,
PffT2-FTAZ-2DT,D,-5.28,-3.37,1.91,620,nan
,,,,,,
PFOPB,D,-5.5,-3.64,nan,nan,nan
,,,,,,
P-FP,D,-5.54,-3.61,nan,nan,nan
,,,,,,
P-FT,D,-5.48,-3.48,nan,nan,nan
,,,,,,
Ph-DTDP-IC,A,-5.53,-4,1.61,701,673
,,,,,,
Ph-DTDP-TIC,A,-5.33,-3.89,1.46,740,707
,,,,,,
Ph-DTDP-TTIC,A,-5.28,-3.92,1.45,703,695
,,,,,,
PhITBD,A,-5.5,-3.78,1.18,656,606
,,,,,,
PI-4F,A,-5.8,-4.06,1.65,703,665
,,,,,,
PI-BT,A,-5.8,-3.3,2.34,448,nan
,,,,,,
PIDIC2T,A,-5.65,-3.85,1.54,726,691
,,,,,,
PIDIC2T2Cl,A,-5.67,-3.87,1.55,706,697
,,,,,,
PIDIC2T2F,A,-5.73,-3.89,1.55,711,701
,,,,,,
PIDT-DTN,D,-5.37,-3.48,1.89,542,544
,,,,,,
p-IDTIDT-IC,A,-5.42,-3.82,1.53,721,696
,,,,,,
PIDTTDTffBTA,D,-5.25,-3.63,nan,nan,nan
,,,,,,
P-IDTzR,A,-5.31,-3.42,1.89,592,571
,,,,,,
p-INPOIC,A,-5.38,-4,1.37,823,779
,,,,,,
p-IO1,A,-5.46,-4.13,1.34,815,766
,,,,,,
p-IO2,A,-5.44,-4.19,1.24,880,808
,,,,,,
PIST-4F,A,-5.65,-4.03,1.46,748,710
,,,,,,
PJ1-H,A,-5.64,-3.82,1.41,798,767
,,,,,,
PMI-F-PMI,A,-5.74,-3.54,2.2,514,533
,,,,,,
PN1,A,-5.71,-3.85,nan,nan,nan
,,,,,,
POPB,D,-5.38,-3.57,nan,nan,nan
,,,,,,
P-P,D,-5.33,-3.39,nan,nan,nan
,,,,,,
p-PBDTPS-FTAZ,D,-5.32,-3.36,1.96,589,583
,,,,,,
PPDT2FBT,D,-5.43,-3.67,nan,nan,nan
,,,,,,
PT2IC-4Cl,A,-5.6,-3.9,1.31,865,776
,,,,,,
PT4FB,D,-5.59,-3.61,nan,nan,nan
,,,,,,
PTB4Cl,A,-5.91,-3.93,1.58,760,657
,,,,,,
PTB4F,A,-5.87,-3.89,1.65,729,645
,,,,,,
PTB7,D,-5.19,-3.43,nan,nan,nan
,,,,,,
PTB7-Th,D,-5.21,-3.6,1.58,705,nan
,,,,,,
PTBB-m,D,-5.48,-3.42,1.88,600,nan
,,,,,,
PTBB-o,D,-5.52,-3.37,1.89,656,nan
,,,,,,
PTBB-p,D,-5.41,-3.49,1.84,623,nan
,,,,,,
PTBTz-2,D,-5.48,-3.52,nan,nan,nan
,,,,,,
PTFB-O,D,-5.36,-3.36,nan,nan,nan
,,,,,,
PTFB-P,D,-5.32,-3.33,nan,nan,nan
,,,,,,
PTIBT,D,-5.41,-3.61,nan,nan,nan
,,,,,,
